concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - AcuGLDB2 - 9.2,Micro Focus,AcuGLDB2,9.2,2014-08-07,2018-11-30
Micro Focus - AcuGLDB2 - 9.2,Micro Focus,AcuGLDB2,9.2,2014-02-14,2018-11-30
Micro Focus - AcuGLDB2 - 9.2,Micro Focus,AcuGLDB2,9.2,2013-09-10,2018-11-30
Micro Focus - AcuGLDB2 - 9.2,Micro Focus,AcuGLDB2,9.2,2013-06-27,2018-11-30
Micro Focus - AcuGLDB2 - 9.12.1,Micro Focus,AcuGLDB2,9.12.1,2012-11-01,2018-11-30
Micro Focus - AcuGLDB2 - 9.1,Micro Focus,AcuGLDB2,9.1,2012-09-24,2018-11-30
Micro Focus - AcuGLDB2 - 9.1,Micro Focus,AcuGLDB2,9.1,2012-02-29,2018-11-30
Micro Focus - AcuGLDB2 - 9.1,Micro Focus,AcuGLDB2,9.1,2011-09-27,2018-11-30
Micro Focus - AcuGLDB2 - 9.0,Micro Focus,AcuGLDB2,9.0,2011-05-12,2018-11-30
Micro Focus - AcuGLDB2 - 9.0,Micro Focus,AcuGLDB2,9.0,2010-12-17,2018-11-30
Micro Focus - AcuGLDB2 - 8.1,Micro Focus,AcuGLDB2,8.1,2010-07-08,2017-02-28
Micro Focus - AcuGLDB2 - 8.1,Micro Focus,AcuGLDB2,8.1,2010-01-12,2017-02-28
Micro Focus - AcuGLDB2 - 8.1,Micro Focus,AcuGLDB2,8.1,2009-08-13,2017-02-28
Micro Focus - AcuGLDB2 - 8.1,Micro Focus,AcuGLDB2,8.1,2008-09-30,2017-02-28
Micro Focus - AcuGLDB2 - 8.10.4,Micro Focus,AcuGLDB2,8.10.4,2008-09-22,2017-02-28
Micro Focus - AcuGLDB2 - 8.10.3,Micro Focus,AcuGLDB2,8.10.3,2008-09-03,2017-02-28
Micro Focus - AcuGLDB2 - 8.10.2,Micro Focus,AcuGLDB2,8.10.2,2008-09-02,2017-02-28
Micro Focus - AcuGLDB2 - 8.10.1,Micro Focus,AcuGLDB2,8.10.1,2008-08-21,2017-02-28
Micro Focus - AcuGLDB2 - 8.0,Micro Focus,AcuGLDB2,8.0,2007-12-19,2017-02-28
Micro Focus - AcuGLDB2 - 8.0,Micro Focus,AcuGLDB2,8.0,2007-09-26,2017-02-28
Micro Focus - AcuGLDB2 - 7.3,Micro Focus,AcuGLDB2,7.3,2006-12-01,2010-12-31
Micro Focus - AcuGLDB2 - 7.2,Micro Focus,AcuGLDB2,7.2,2006-06-13,2010-12-31
Micro Focus - AcuGLDB2 - 7.1,Micro Focus,AcuGLDB2,7.1,2006-05-02,2010-12-31
Micro Focus - AcuGLDB2 - 7.0,Micro Focus,AcuGLDB2,7.0,2005-11-09,2010-12-31
Micro Focus - AcuGLDB2 - 7.0,Micro Focus,AcuGLDB2,7.0,2005-10-06,2010-12-31
Micro Focus - AcuGLDB2 - 7.0,Micro Focus,AcuGLDB2,7.0,2005-08-05,2010-12-31
Micro Focus - AcuGLInformix - 10.4.0,Micro Focus,AcuGLInformix,10.4.0,2021-04-29,
Micro Focus - AcuGLInformix - 10.3,Micro Focus,AcuGLInformix,10.3,2020-06-30,2021-11-30
Micro Focus - AcuGLInformix - 10.3,Micro Focus,AcuGLInformix,10.3,2019-11-27,2021-04-30
Micro Focus - AcuGLInformix - 10.2,Micro Focus,AcuGLInformix,10.2,2018-11-29,
Micro Focus - AcuGLInformix - 10.2,Micro Focus,AcuGLInformix,10.2,2018-03-28,
Micro Focus - AcuGLInformix - 10.1,Micro Focus,AcuGLInformix,10.1,2017-07-31,
Micro Focus - AcuGLInformix - 10.1,Micro Focus,AcuGLInformix,10.1,2017-01-27,
Micro Focus - AcuGLInformix - 10.0,Micro Focus,AcuGLInformix,10.0,2016-03-29,
Micro Focus - AcuGLInformix - 10.0,Micro Focus,AcuGLInformix,10.0,2015-09-24,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2015-03-26,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2014-11-20,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2014-08-07,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2014-02-14,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2013-09-10,
Micro Focus - AcuGLInformix - 9.2,Micro Focus,AcuGLInformix,9.2,2013-06-27,
Micro Focus - AcuGLInformix - 9.12.1,Micro Focus,AcuGLInformix,9.12.1,2012-11-01,
Micro Focus - AcuGLInformix - 9.1,Micro Focus,AcuGLInformix,9.1,2012-09-24,
Micro Focus - AcuGLInformix - 9.1,Micro Focus,AcuGLInformix,9.1,2012-02-29,
Micro Focus - AcuGLInformix - 9.1,Micro Focus,AcuGLInformix,9.1,2011-09-27,
Micro Focus - AcuGLInformix - 9.0,Micro Focus,AcuGLInformix,9.0,2011-05-12,
Micro Focus - AcuGLInformix - 9.0,Micro Focus,AcuGLInformix,9.0,2010-12-17,
Micro Focus - AcuGLInformix - 8.1,Micro Focus,AcuGLInformix,8.1,2010-07-08,2017-02-28
Micro Focus - AcuGLInformix - 8.1,Micro Focus,AcuGLInformix,8.1,2010-01-12,2017-02-28
Micro Focus - AcuGLInformix - 8.1,Micro Focus,AcuGLInformix,8.1,2009-08-13,2017-02-28
Micro Focus - AcuGLInformix - 8.1,Micro Focus,AcuGLInformix,8.1,2008-09-30,2017-02-28
Micro Focus - AcuGLInformix - 8.10.4,Micro Focus,AcuGLInformix,8.10.4,2008-09-22,2017-02-28
Micro Focus - AcuGLInformix - 8.10.3,Micro Focus,AcuGLInformix,8.10.3,2008-09-03,2017-02-28
Micro Focus - AcuGLInformix - 8.10.2,Micro Focus,AcuGLInformix,8.10.2,2008-09-02,2017-02-28
Micro Focus - AcuGLInformix - 8.10.1,Micro Focus,AcuGLInformix,8.10.1,2008-08-21,2017-02-28
Micro Focus - AcuGLInformix - 8.0,Micro Focus,AcuGLInformix,8.0,2007-12-19,2017-02-28
Micro Focus - AcuGLInformix - 8.0,Micro Focus,AcuGLInformix,8.0,2007-09-26,2017-02-28
Micro Focus - AcuGLInformix - 7.2,Micro Focus,AcuGLInformix,7.2,2006-06-13,2010-12-31
Micro Focus - AcuGLInformix - 7.0,Micro Focus,AcuGLInformix,7.0,2005-10-06,2010-12-31
Micro Focus - AcuGLInformix - 7.0,Micro Focus,AcuGLInformix,7.0,2005-08-05,2010-12-31
Micro Focus - AcuGLInformix - 6.20.1,Micro Focus,AcuGLInformix,6.20.1,2004-12-14,2008-12-31
Micro Focus - AcuGLInformix - 6.1,Micro Focus,AcuGLInformix,6.1,2004-01-28,2008-12-31
Micro Focus - AcuGLInformix - 5.2,Micro Focus,AcuGLInformix,5.2,2002-07-31,2006-10-31
Micro Focus - AcuGLInformix - 4.20.1,Micro Focus,AcuGLInformix,4.20.1,1999-05-26,2006-10-31
