concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - DedicatedMasterRuntime - 9.00,Micro Focus,DedicatedMasterRuntime,9,,
Micro Focus - DedicatedMasterRuntime - 9.10,Micro Focus,DedicatedMasterRuntime,9.1,,
Micro Focus - DedicatedMasterRuntime - 9.11,Micro Focus,DedicatedMasterRuntime,9.11,,
Micro Focus - DeploymentAutomation - 51.3,Micro Focus,DeploymentAutomation,51.3,,21/12/16
Micro Focus - DeploymentAutomation - 51.4,Micro Focus,DeploymentAutomation,51.4,,21/12/16
Micro Focus - DeploymentAutomation - 51.5,Micro Focus,DeploymentAutomation,51.5,,21/12/16
Micro Focus - DeploymentAutomation - 51.6,Micro Focus,DeploymentAutomation,51.6,,21/12/16
Micro Focus - DeploymentAutomation - 6.3.3,Micro Focus,DeploymentAutomation,6.3.3,31/03/21,30/04/23
Micro Focus - DeploymentAutomation - 6.3.2,Micro Focus,DeploymentAutomation,6.3.2,17/07/20,31/07/22
Micro Focus - DeploymentAutomation - 6.3.1,Micro Focus,DeploymentAutomation,6.3.1,09/01/20,31/01/22
Micro Focus - DeploymentAutomation - 60,Micro Focus,DeploymentAutomation,60,,21/12/16
Micro Focus - DeploymentAutomation - 61,Micro Focus,DeploymentAutomation,61,,21/12/17
Micro Focus - DeploymentAutomation - 61.1,Micro Focus,DeploymentAutomation,61.1,,30/06/18
Micro Focus - DeploymentAutomation - 61.2,Micro Focus,DeploymentAutomation,61.2,,30/06/18
Micro Focus - DeploymentAutomation - 61.3,Micro Focus,DeploymentAutomation,61.3,,21/12/18
Micro Focus - DeploymentAutomation - 61.4,Micro Focus,DeploymentAutomation,61.4,,31/05/19
Micro Focus - DeploymentAutomation - 61.5,Micro Focus,DeploymentAutomation,61.5,,31/12/19
Micro Focus - DeploymentAutomation - 62,Micro Focus,DeploymentAutomation,62,,30/06/20
Micro Focus - DeploymentAutomation - 62.1,Micro Focus,DeploymentAutomation,62.1,,31/12/20
Micro Focus - DeploymentAutomation - 62.2,Micro Focus,DeploymentAutomation,62.2,,31/03/21
Micro Focus - DeploymentAutomation - 63,Micro Focus,DeploymentAutomation,63,,
Micro Focus - DevelopmentManager - 10,Micro Focus,DevelopmentManager,10,,31/07/13
Micro Focus - DevelopmentManager - 11,Micro Focus,DevelopmentManager,11,,31/07/13
Micro Focus - DevelopmentManager - 12,Micro Focus,DevelopmentManager,12,,31/07/13
Micro Focus - DevelopmentManager - 40,Micro Focus,DevelopmentManager,40,,20/05/14
Micro Focus - DevelopmentManager - 40.1,Micro Focus,DevelopmentManager,40.1,,20/05/14
Micro Focus - DevelopmentManager - 45,Micro Focus,DevelopmentManager,45,,31/07/13
Micro Focus - DevPartnerBoundsChecker - 11.0400,Micro Focus,DevPartnerBoundsChecker,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerBoundsChecker - 11.0300,Micro Focus,DevPartnerBoundsChecker,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerBoundsChecker - 11.0200,Micro Focus,DevPartnerBoundsChecker,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerCoverageChecker - 11.0400,Micro Focus,DevPartnerCoverageChecker,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerCoverageChecker - 11.0300,Micro Focus,DevPartnerCoverageChecker,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerCoverageChecker - 11.0200,Micro Focus,DevPartnerCoverageChecker,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerCoverageChecker - 11.0100,Micro Focus,DevPartnerCoverageChecker,11.01,20/04/13,31/12/19
Micro Focus - DevPartnerCoverageChecker - 11.0000,Micro Focus,DevPartnerCoverageChecker,11,28/09/12,31/12/19
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 10.000,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,10,,01/04/15
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 10.50,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,10.5,,01/04/15
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 10.60,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,10.6,,01/04/17
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 10.61,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,10.61,,01/04/17
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 11.0400,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 11.0300,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 11.0200,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 11.0100,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,11.01,10/04/13,31/12/19
Micro Focus - DevPartnerVisualCBoundsCheckerSuite - 11.0000,Micro Focus,DevPartnerVisualCBoundsCheckerSuite,11,28/09/12,31/12/19
Micro Focus - DevPartnerMemoryChecker - 11.0400,Micro Focus,DevPartnerMemoryChecker,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerMemoryChecker - 11.0300,Micro Focus,DevPartnerMemoryChecker,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerMemoryChecker - 11.0200,Micro Focus,DevPartnerMemoryChecker,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerMemoryChecker - 11.0100,Micro Focus,DevPartnerMemoryChecker,11.01,10/04/13,31/12/19
Micro Focus - DevPartnerMemoryChecker - 11.0000,Micro Focus,DevPartnerMemoryChecker,11,28/09/12,31/12/19
Micro Focus - DevPartnerPerformanceChecker - 11.0400,Micro Focus,DevPartnerPerformanceChecker,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerPerformanceChecker - 11.0300,Micro Focus,DevPartnerPerformanceChecker,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerPerformanceChecker - 11.0200,Micro Focus,DevPartnerPerformanceChecker,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerPerformanceChecker - 11.0100,Micro Focus,DevPartnerPerformanceChecker,11.01,10/04/13,31/12/19
Micro Focus - DevPartnerPerformanceChecker - 11.0000,Micro Focus,DevPartnerPerformanceChecker,11,28/09/12,31/12/19
Micro Focus - DevPartnerStudioProfessionalEdition - 10.000,Micro Focus,DevPartnerStudioProfessionalEdition,10,,01/04/15
Micro Focus - DevPartnerStudioProfessionalEdition - 10.50,Micro Focus,DevPartnerStudioProfessionalEdition,10.5,,01/04/15
Micro Focus - DevPartnerStudioProfessionalEdition - 10.60,Micro Focus,DevPartnerStudioProfessionalEdition,10.6,,01/04/17
Micro Focus - DevPartnerStudioProfessionalEdition - 10.61,Micro Focus,DevPartnerStudioProfessionalEdition,10.61,,01/04/17
Micro Focus - DevPartnerStudioProfessionalEdition - 11.05.01,Micro Focus,DevPartnerStudioProfessionalEdition,11.05.01,05/10/20,31/10/24
Micro Focus - DevPartnerStudioProfessionalEdition - 11.0400,Micro Focus,DevPartnerStudioProfessionalEdition,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerStudioProfessionalEdition - 11.0300,Micro Focus,DevPartnerStudioProfessionalEdition,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerStudioProfessionalEdition - 11.0200,Micro Focus,DevPartnerStudioProfessionalEdition,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerStudioProfessionalEdition - 11.0100,Micro Focus,DevPartnerStudioProfessionalEdition,11.01,10/04/13,31/12/19
Micro Focus - DevPartnerStudioProfessionalEdition - 11.0000,Micro Focus,DevPartnerStudioProfessionalEdition,11,28/09/12,31/12/19
Micro Focus - DevPartnerSystemChecker - 11.0400,Micro Focus,DevPartnerSystemChecker,11.04,14/11/17,31/12/21
Micro Focus - DevPartnerSystemChecker - 11.0300,Micro Focus,DevPartnerSystemChecker,11.03,20/07/15,31/12/19
Micro Focus - DevPartnerSystemChecker - 11.0200,Micro Focus,DevPartnerSystemChecker,11.02,31/01/14,31/12/19
Micro Focus - DevPartnerSystemChecker - 11.0100,Micro Focus,DevPartnerSystemChecker,11.01,10/04/13,31/12/19
Micro Focus - DevPartnerSystemChecker - 11.0000,Micro Focus,DevPartnerSystemChecker,11,28/09/12,31/12/19
Micro Focus - Diagnostics5x - 9.5,Micro Focus,Diagnostics5x,9.5,29/05/18,30/06/22
Micro Focus - Diagnostics4x - 9.4,Micro Focus,Diagnostics4x,9.4,17/08/17,31/08/21
Micro Focus - Diagnostics3x - 9.3,Micro Focus,Diagnostics3x,9.3,19/12/16,31/12/20
Micro Focus - DimensionsCM - 101.3.1,Micro Focus,DimensionsCM,101.3.1,31/10/08,31/01/11
Micro Focus - DimensionsCM - 101.3,Micro Focus,DimensionsCM,101.3,13/06/08,31/01/11
Micro Focus - DimensionsCM - 101.2,Micro Focus,DimensionsCM,101.2,28/11/07,31/01/11
Micro Focus - DimensionsCM - 101.1,Micro Focus,DimensionsCM,101.1,29/04/07,31/01/11
Micro Focus - DimensionsCM - 101.0,Micro Focus,DimensionsCM,101,15/09/06,31/01/11
Micro Focus - DimensionsCM - 122.2,Micro Focus,DimensionsCM,122.2,31/01/13,30/06/17
Micro Focus - DimensionsCM - 122.1,Micro Focus,DimensionsCM,122.1,30/07/12,30/06/17
Micro Focus - DimensionsCM - 122,Micro Focus,DimensionsCM,122,31/10/11,30/06/17
Micro Focus - DimensionsCM - 121.1,Micro Focus,DimensionsCM,121.1,01/06/11,31/01/13
Micro Focus - DimensionsCM - 121,Micro Focus,DimensionsCM,121,08/02/01,31/01/13
Micro Focus - DimensionsCM - 14.5.3,Micro Focus,DimensionsCM,14.5.3,30/07/21,31/08/23
Micro Focus - DimensionsCM - 14.5.2,Micro Focus,DimensionsCM,14.5.2,09/12/20,31/12/22
Micro Focus - DimensionsCM - 145.1,Micro Focus,DimensionsCM,145.1,28/11/19,31/12/21
Micro Focus - DimensionsCM - 145,Micro Focus,DimensionsCM,145,07/03/19,30/06/21
Micro Focus - DimensionsCM - 144,Micro Focus,DimensionsCM,144,11/01/18,31/12/20
Micro Focus - DimensionsCM - 143.3,Micro Focus,DimensionsCM,143.3,23/05/17,31/12/19
Micro Focus - DimensionsCM - 143.2,Micro Focus,DimensionsCM,143.2,31/10/16,31/05/18
Micro Focus - DimensionsCM - 143.1,Micro Focus,DimensionsCM,143.1,31/08/16,31/12/17
Micro Focus - DimensionsCM - 143,Micro Focus,DimensionsCM,143,26/05/16,31/12/17
Micro Focus - DimensionsCM - 142.0.2,Micro Focus,DimensionsCM,142.0.2,04/03/16,31/05/17
Micro Focus - DimensionsCM - 142.0.1,Micro Focus,DimensionsCM,142.0.1,12/11/15,31/05/17
Micro Focus - DimensionsCM - 142,Micro Focus,DimensionsCM,142,20/07/15,31/05/17
Micro Focus - DimensionsCM - 141.0.3,Micro Focus,DimensionsCM,141.0.3,04/11/14,31/12/15
Micro Focus - DimensionsCM - 141.0.2,Micro Focus,DimensionsCM,141.0.2,30/09/14,31/12/15
Micro Focus - DimensionsCM - 141.0.1,Micro Focus,DimensionsCM,141.0.1,22/07/14,31/12/15
Micro Focus - DimensionsCM - 141,Micro Focus,DimensionsCM,141,10/06/14,31/12/15
