productName,productFullId,productId
Dimensions CM 5,row2932,2932
Dimensions CM 6,row2938,2938
Dimensions CM 7,row2944,2944
Dimensions CM 8,row2950,2950
Dimensions CM 9,row2964,2964
Dimensions CM Replicator 10 1.1,row2969,2969
Dimensions Docker Registry 14,row2970,2970
Dimensions GIT Connector 14,row2973,2973
Dimensions Replicator 10,row2976,2976
Dimensions Replicator 7 1.01,row2979,2979
Dimensions Replicator 9 1.0,row2980,2980
Dimensions RM 10,row2981,2981
Dimensions RM 11,row2989,2989
Dimensions RM 12,row2994,2994
Dimensions RM 2009,row3009,3009
Dimensions RM 2010 R1,row3013,3013
Dimensions RM 4,row3014,3014
Dimensions RM 5,row3018,3018
Dimensions RM 8 5.2,row3022,3022
Dimensions RM 9 1.3,row3023,3023
Directory and Resource Administrator 10,row6747,6747
Directory and Resource Administrator 8,row2271,2271
Directory and Resource Administrator 9,row2275,2275
Dynamic File Services,row2279,2279
Dynamic File Services 2,row2280,2280
Enterprise Analyzer,row6872,6872
Enterprise Analyzer - Enterprise View,row3024,3024
Enterprise Developer 2.1,row3047,3047
Enterprise Developer 2.2,row3048,3048
Enterprise Developer 2.3,row3049,3049
Enterprise Developer 3.0,row3050,3050
Enterprise Developer 4.0,row3051,3051
Enterprise Developer 5.0,row3052,3052
Enterprise Developer 6.0,row96,96
Enterprise Developer Connect 2.2,row3054,3054
Enterprise Developer Connect 2.3,row3055,3055
Enterprise Developer Connect 3.0,row3056,3056
Enterprise Developer Connect 4.0,row3057,3057
Enterprise Developer Connect 5.0,row3058,3058
Enterprise Developer Connect 6.0,row6870,6870
Enterprise Developer for zEnterprise 2.1,row3060,3060
Enterprise Developer for zEnterprise 2.2,row3061,3061
Enterprise Developer for zEnterprise 2.3,row3062,3062
Enterprise Developer for zEnterprise 3.0,row3063,3063
Enterprise Developer for zEnterprise 4.0,row3064,3064
Enterprise Developer for zEnterprise 5.0 0,row3065,3065
Enterprise Developer for zEnterprise 6.0,row6869,6869
Enterprise Server 2.0,row3067,3067
